,Description,Measure,Vitamin B-6 (mg) Per Measure,Riboflavin(mg)Per Measure,Vitamin B-12 (µg) Per Measure,Vitamin D2 (ergocalciferol) (µg) Per Measure,Vitamin D (IU) Per Measure,Pantothenic Acid(mg)Per Measure,"Vitamin C, Total Ascorbic Acid (mg) Per Measure",Vitamin K (phylloquinone) (µg) Per Measure,Vitamin E (alpha-tocopherol) (mg) Per Measure,"Folate, total(µg)Per Measure","Choline, total(mg)Per Measure",Niacin(mg)Per 100 g
200,"Broccoli, frozen, chopped, cooked, boiled, drained, without salt",1.0 cups,0.239,,,,,,,,,,,
201,"Fish, haddock, raw",3.0 oz,0.239,,,,,,,,,,,
202,"Fish, herring, Atlantic, pickled",1.0 cups,0.238,,,,,,,,,,,
203,"Toaster pastries, fruit, toasted (include apple, blueberry, cherry, strawberry)",1.0 pastry,0.237,,,,,,,,,,,
204,"Fish, cisco, raw",1.0 fillet,0.237,,,,,,,,,,,
205,"Passion-fruit, (granadilla), purple, raw",1.0 cups,0.236,,,,,,,,,,,
206,"Amaranth leaves, cooked, boiled, drained, without salt",1.0 cups,0.234,,,,,,,,,,,
207,"Fast foods, croissant, with egg, cheese, and ham",1.0 item,0.233,,,,,,,,,,,
208,"Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised",3.0 oz,0.23,,,,,,,,,,,
209,"Pork sausage, link/patty, reduced fat, unprepared",3.0 oz,0.23,,,,,,,,,,,
210,"Corn, sweet, yellow, frozen, kernels cut off cob, unprepared (Includes foods for USDA's Food Distribution Program)",1.0 cups,0.228,,,,,,,,,,,
211,"Snacks, potato chips, fat free, salted",1.0 oz,0.227,,,,,,,,,,,
212,"POPEYES, Spicy Chicken Strips, analyzed 2006",1.0 strip,0.226,,,,,,,,,,,
213,"Veal, shank (fore and hind), separable lean and fat, cooked, braised",3.0 oz,0.225,,,,,,,,,,,
214,"Potatoes, flesh and skin, raw","0.5 cups, diced",0.223,,,,,,,,,,,
215,"Veal, breast, whole, boneless, separable lean and fat, cooked, braised",3.0 oz,0.222,,,,,,,,,,,
216,"Peas, edible-podded, frozen, unprepared",1.0 cups,0.222,,,,,,,,,,,
217,"Breadfruit, raw",1.0 cups,0.22,,,,,,,,,,,
218,"Lamb, Australian, imported, fresh, foreshank, separable lean only, trimmed to 1/8"" fat, cooked, braised",3.0 oz,0.218,,,,,,,,,,,
219,"Chicken, broilers or fryers, leg, meat only, cooked, fried",1.0 unit (yield from 1 lb ready-to-cook chicken),0.218,,,,,,,,,,,
220,"Lima beans, immature seeds, frozen, fordhook, unprepared",1.0 cups,0.218,,,,,,,,,,,
221,"Soup, pea, split with ham, canned, chunky, ready-to-serve",1.0 cups,0.216,,,,,,,,,,,
222,"Sausage, turkey, hot, smoked",2.0 oz,0.213,,,,,,,,,,,
223,"Potatoes, boiled, cooked without skin, flesh, without salt",0.5 cups,0.21,,,,,,,,,,,
